"placename","othername","designator","location","remarks","infosource"
"Summers Family Cemetery","   -","Cemetery","Lacey Spring area, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North (No. Valley Pike) and turn left onto Route 806 (Lacey Spring Road). About 1/4 mile past the Lacey Spring Cemetery on the right side of Route 806.","   -","HRHS Cemeteries Database 2013"
"Sunny Side Road","Sunnyside Road","Road","The road ends at intersection of SR 276 and 668, at Timber Ridge. Extends about 5.9 mi in Rockingham Co.","   -","HRHS Archives # 86 Whitmer"
"Sunny Side School Number 46","Sunnyside School","School","At intersection of SR 668 and 677. About 2.4 mi W of Port Republic.","   -","HRHS Archives # 86 Whitmer"
"Sunnyside Presbyterian Home","   -","Structure","At Massanetta Springs","   -","HRHS Archives # 86 Whitmer"
"Sunnyside Road","Sunny Side Road","Road","A road extending generally SSE-NNW. Begins at intersection of SR 668 and 902 in Augusta Co., about .7 mi W of Grottoes, ends at N end of SR 668, about 2.2 mi SW of Cross Keys. Is now present day SR 668. Extends about 6.2 mi in Rockingham Co.","   -","HRHS Archives # 86 Whitmer"
"Sunnyside School","Sunny Side School Number 46","School","   -","   -","HRHS Archives # 86 Whitmer"
"Sunnyside School","   -","School","On old U.S. Rt 33. About .4 mi NW of Swift Run Gap.","   -","HRHS Archives # 86 Whitmer"
"Sunnyside School No 46","   -","School","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Sunset Drive United Methodist Church","Refer to: Broadway United Brethren Church.","Church","Broadway, Sunset Drive","United Methodist","HRHS Churches Database 2013"
"Sunset Heights Addition","   -","Community","A subdivision in Harrisonburg, extending into Rockingha Co. On west side of city. Boundries uncertain. Includes Circle Drive and Netland Drive.","   -","HRHS Archives # 86 Whitmer"
"Sup In Lick Mountain","Supin Lick Mountain","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Supin Lick Mountain","Sup In Lick Mountain, Supinlick Mountain","Mountain","Elevation 2026', Extends SW-NE about 9 mi, highest point near 38 42 59N, 78 50 57W. Center in Shenandoah Co., about 2.8 mi SSW of Orkney Springs.","   -","HRHS Archives # 86 Whitmer"
"Supinlick Mountain","Supin Lick Mountain, Sup In Lick Mountain","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Suplinlick Mtn.","   -","Mountain","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Suspension Brg.","   -","Bridge","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Suspension Bridge","   -","Bridge","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013"
"Sutters","   -","Community","At intersection of SR 763 and 765. About 2.7 mi E of Mt. Clinton","   -","HRHS Archives # 86 Whitmer"
"Swank Place Cemetery (*) (#)","   -","Cemetery","Edom, Rockingham County, Virginia.","* Negro. # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Swartz Mill","   -","Mill","McGaheysville","   -","HRHS Mill Books"
"Swartz-Dingledine Family Cemetery","   -","Cemetery","Singers Glen area, Rockingham County, Virginia.  Refer to Dingledine - Swartz Family Cemetery.","   -","HRHS Cemeteries Database 2013"
"Swift Run","Swiftrun, Swift Run Post Office, Roadside","Community","On U.S. Rt 33. About 2.1 mi WNW of Swift Run Gap.","   -","HRHS Archives # 86 Whitmer"
"Swift Run","West Swift Run","Stream","Rises about 1 mi W of Swift Run Gap","   -","HRHS Archives # 86 Whitmer"
"Swift Run","West Swift Run","Stream","   -","Early name of Singers Glen","Other Sources"
"Swift Run","   -","Stream","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Swift Run Ch.","   -","Church","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Swift Run Church","   -","Church","Near U.S. Rt. 33. About 1.6 mi WNW of Swift Run Gap.","   -","HRHS Archives # 86 Whitmer"
"Swift Run Gap","Swiftrun Gap","Gap","An air gap where U.S.33 passes over the Blue Ridge. Elevation 2367'. About 5 mi SE of Elkton","   -","HRHS Archives # 86 Whitmer"
"Swift Run Gap","   -","Gap","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Swift Run Gap Methodist","   -","Church","Eastern Rockingham","Methodist","HRHS Churches Database 2013"
"Swift Run Overlook","   -","Road","On Skyline Drive about 1.4 mi SW of Swift Run Gap. Elevation 2713'.","   -","HRHS Archives # 86 Whitmer"
"Swift Run P O","   -","Post Office","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Swift Run Post Office","Swift Run","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Swift Run School","   -","School","Near intersection of U.S. Rt. Ee and SR 628. bout 1.9 WNW of Swift Run Gap.","Unnamed school symbol is north side of U.S.33","HRHS Archives # 86 Whitmer"
"Swift Run United Brethren Church","   -","Church","Elkton, east of near Swift Run Gap","United Brethren","HRHS Churches Database 2013"
"Swiftrun","Swift Run","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Swiftrun Gap","Swift Run Gap","Gap","   -","   -","HRHS Archives # 86 Whitmer"
"Syphon Fountains","Tide Spring","Spring","   -","Drains into Linville Creek","Other Sources"
"Tannery","Dinkel Bros","Business","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"Tannery","Swift Run","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Tannery (McG)","   -","Business","McGaheysville","P. 27","1885 Lakes Atlas Revised 2013"
"Tannery (P.R.)","   -","Business","Port Republic","P. 22","1885 Lakes Atlas Revised 2013"
"Taylor Spring School","   -","School","On SR 687. At Massanetta Springs community.","   -","HRHS Archives # 86 Whitmer"
"Taylor Spring School","   -","School","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Taylor Springs","Massanetta Springs","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Taylor Springs","Massanetta Springs","Community","   -","   -","Other Sources"
"Taylor Springs","   -","Spring","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Taylors Mill","   -","Mill","Massanetta Springs","   -","HRHS Mill Books"
"Teams Hollow Run","   -","Stream","Rises about 2.1 mi NE of Bergton, near 38 47 43N, 78 55 27W, flows SE about 2.2 mi into Capon Run near 38 46 37N, 78 53 55W, about 2.5 mi ENE of Bergton","   -","HRHS Archives # 86 Whitmer"
"Temperance","Frds of","Structure","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 10","1885 Lakes Atlas Revised 2013"
"Temperance Lodge","   -","Hotel","On SR 276. About .4 mi SW of Cross Keys.","   -","HRHS Archives # 86 Whitmer"
"Temple Beth-El","Refer to: Temple, Hebrew Friendship Congregation.","Church","Harrisonburg, Old Furnace Rd.","Jewish","HRHS Churches Database 2013"
"Temple, Hebrew Friendship Congregation.","{See also, Temple Beth El)","Church","Harrisonburg, north Main Street. (No longer exists)","Jewish","HRHS Churches Database 2013"
"Ten Pin Alley","   -","Business","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Tenn. Sons Worth Di","   -","Business","Port Republic","P. 22","1885 Lakes Atlas Revised 2013"
"Tenth Legion","   -","Community","At intersection of U.S. Rt.11 and SR 798. About 4.5 mi SE of Broadway","   -","HRHS Archives # 86 Whitmer"
"Tenth Legion P.O.","   -","Post Office","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Tenth Legion Post Office","   -","Post Office","On U.S. Rt.11. About .6 mi NE of Tenth Legion.","   -","HRHS Archives # 86 Whitmer"
"Tenth Legion School","   -","School","At Tenth Legion.","   -","HRHS Archives # 86 Whitmer"
"The Feed Store","   -","Business","At the West end of Feedstone Mountain, on Dry River. About 2.9 mi NE of High Knob.","Perhaps this is a Salt Lick.","HRHS Archives # 86 Whitmer"
"The Kettle","   -","Valley","A basin or valley in Massanutten Mountain, near its SW end. Center about 1 mi NE of Massanutten Peak","   -","HRHS Archives # 86 Whitmer"
"The Knobs","   -","Hill","Elevation About 2040'. Extends E. About 1 mi from N end of Gate Ridge. Center about 3.6 mi WSW of Fulks Run","   -","HRHS Archives # 86 Whitmer"
"The Peak","Massanutten Peak","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Third Hill","   -","Hill","Elevation 1815'. About .9 mi WSW of Fulks Run.","   -","HRHS Archives # 86 Whitmer"
"Third Hill Mm.","   -","Hill","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Third Mountain","   -","Mountain","A ridge of Massanutten Mountain extending SW-NE about 6.4 mi, with Lairds Knob at the SW end and Morgan Knob near the NE end. Highest point exclusive of these 2 knobs 3045'. Center near 38 28 40N, 78 42 05W","   -","HRHS Archives # 86 Whitmer"
"Third Point","   -","Mountain","Elevation 3071'. About 5 mi ENE of Cow Knob.","   -","HRHS Archives # 86 Whitmer"
"Thomas & Showalter","   -","Business","Harrisonburg","P. 16","1885 Lakes Atlas Revised 2013"
"Thomas Family Cemetery","   -","Cemetery","Near Timberville, Roackingham County, Virginia. From Harrisonburg take Route 42 to Timberville & turn right onto Route 617 (Evergreen Valley Road).  Go approximately 3.0 miles & turn left onto Route 617 (Ridge Road).  Cross railroad tracks & go 0.3 m","   -","HRHS Cemeteries Database 2013"
"Thomas Family Cemetery","   -","Cemetery","Harrisonburg, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 42 south. Turn left onto Route 726 (Erickson Avenue). Cross railroad tracks and turn right on Pear Street. Go 5/10ths mile and cemetery is located on the right (south)","   -","HRHS Cemeteries Database 2013"
"Thompson Gap","   -","Gap","A water gap where SR 769 crosses over Hopkins Ridge, about 3 mi S of Singers Glen. Elevation about 1480'.","   -","HRHS Archives # 86 Whitmer"
"Thompson's Store","Williamsport, Riddles Tavern, Timberville","Town","   -","   -","Other Sources"
"Thorny Branch","   -","Stream","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Thorny Branch (A)","   -","Stream","Rises about 7.8 mi SE of Reddish Knob, near 38 22 35N, 79 08 56W, flows ENE about 5 mi into North River near 38 23 23N, 79 03 58W, about 3.2 mi SSE of Briery Branch community","Only mouth of Thorny Branch is in Rockingham Co","HRHS Archives # 86 Whitmer"
"Thorny Branch (B)","   -","Stream","Rises about 7 mi ESE of Reddish Knob, near 38 25 18N, 79 07 06W, flows ESE about 1.8 mi into unnamed tributary of Thorny Branch (A) near 38 24 45N, 79 05 50W, about 1.8 mi SSW of Briery Branch community","The stream into which Thorny Branch (B) flows joins Thorny Branch (A) at Sangersville. The whole works may be called Thorny Branch.","HRHS Archives # 86 Whitmer"
"Three Springs","   -","Spring","About 2.5 mi SSW of McGaheysville. Presumably they flow SE less tha .056 mi into South Fork Shenandoah River.","   -","HRHS Archives # 86 Whitmer"
"Three Springs Church","   -","Church","Near eastern intersection of SR 650 and 652. About 2.5 mi SSW of McGaheysville.","   -","HRHS Archives # 86 Whitmer"
"Three Springs Road","   -","Road","A road extending generally SSE-NNW. Begins at souther end of SR 652, about 2.9 mi S of McGaheysville, ends at intersection of SR 652 and 672, about 4.1 mi E of Cross Keys. Is now present day SR 652. Extends about 2.7","   -","HRHS Archives # 86 Whitmer"
"Three Springs School","   -","School","On SR 650. About 2.3 mi SSW of McGaheysville.","   -","HRHS Archives # 86 Whitmer"
"Tide Spring","Syphon Fountains","Spring","   -","Drains into Linville Creek","Other Sources"
"Tide Spring","   -","Spring","About 3.1 mi SW of Broadway. Spring water flows about .2 mi into Tide Spring Branch.","   -","HRHS Archives # 86 Whitmer"
"Tide Spring","   -","Mill","Cherry Grove","   -","HRHS Mill Books"
"Tide Spring","   -","Spring","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Tide Spring Branch","   -","Stream","Rises about 1.9 mi NW of Singers Glen, near 38 34 25N, 78 53 25W, flows E about 4.2 mi into Linville Creek near 38 34 29N, 78 50 08W, about 3.2 mi SSW of Broadway.","   -","HRHS Archives # 86 Whitmer"
"Tide Spring Farm of Neal Riddle (#)","   -","Cemetery","Southwest of Broadway, Rockingham County, Virginia."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Timber Hollow","   -","Valley","Runs SE to NW. Extends about 1.5 mi, mouth of hollow opens onto Skidmore Fork, near 38 33 16N, 79 09 21W. Hollow begins near 38 32 27N, 79 08 00W. Center about 2 mi SE of High Knob","   -","HRHS Archives # 86 Whitmer"
"Timber Ridge","   -","Hill","At the intersection of SR 276 and 668. About 2.2 mi SW of Cross Keys","   -","HRHS Archives # 86 Whitmer"
"Tomahawk Mtn.","   -","Mountain","West Linville Creek","P. 14","1885 Lakes Atlas Revised 2013"
"Town Hall","   -","Structure","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"Trail Ridge","   -","Mountain","Elevation about 3000'. Extends SE-NW about 1.5 mi. Center about 2.2 mi ESE of Bald Knob.","   -","HRHS Archives # 86 Whitmer"
"Trayfoot Mountain","   -","Mountain","Elevation 3374'. Extends SW-NE about 3.5 mi from W side of Blue Ridge. Highest point about 1.1 mi ESE of Hall Mountain. Center in Augusta Co., about .9 mi S of Hall Mountain.","   -","HRHS Archives # 86 Whitmer"
"Trayfoot Mountain Trail","   -","Road","A foot trail in Shenadoah Natl Park extending SW-NE about 3.7 mi. Extends along Trayfoot Mntn. Begins on Paine Run Road in Augusta Co. about 2.7 mi ESE of Harriston, ends at Lookout Tower Access Road at Trayfoot Mntn Summit. Mid point near 38 12 52N,","   -","HRHS Archives # 86 Whitmer"
"Trinity Academy","   -","School","On SR 724. About 1.8 mi SE of Melrose.","   -","HRHS Archives # 86 Whitmer"
"Trinity Church","(See also, St. Lukes United Church of Christ)","Church","Shenandoah County, nw of Timberville.","German Reformed","HRHS Churches Database 2013"
"Trinity Church","   -","Church","On SR 724. About 1.7 mi SE of Melrose","Show G p.15 shows unnamed church symbol at this place","HRHS Archives # 86 Whitmer"
"Trinity Church and School","Refer to: Trinity Dunkard Church","Church","Hinton. Just south. ( No longer exists)","Presbyterian (New School) and Methodist Episcopal","HRHS Churches Database 2013"
"Trinity Dunkard Ch.","   -","Church","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Trinity Dunkard Ch.","   -","Church","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Trinity Dunkard Church","(See also, Trinity Church and School)","Church","Hinton, just west. (Karicofe P.O.) (No Longer exists)","Dunkard","HRHS Churches Database 2013"
"Trinity Dunkard Church","   -","Church","At intersection of SR 732 and 752. About .5 mi WSW of Hinton.","   -","HRHS Archives # 86 Whitmer"
"Trinity Lutheran Church","Refer to: Armentrout?s Lutheran Church","Church","Keezletown, five miles north.","Lutheran","HRHS Churches Database 2013"
"Trinity Lutheran Church","   -","Church","Bridgewater. Main St.","Lutheran","HRHS Churches Database 2013"
"Trinity Lutheran Church Cemetery","   -","Cemetery","Near Harrisonburg, Rockingham County, Virginia. From downtown Harrisonburg travel east on East Market Street.  Go 0.7 miles and turn left on to Old Furnace Road (Route 718).  Go 3.8 miles and turn left on Indian Trail Road (Route 717).  Go 2.1 miles","   -","HRHS Cemeteries Database 2013"
"Trinity Reformed Church (Mt. Crawford)","   -","Church","Mt. Crawford","German Reformed","HRHS Churches Database 2013"
"Trinity Reformed Church (Timberville)","(See also, Trinity United Church of Christ)","Church","Timberville","German Reformed","HRHS Churches Database 2013"
"Trinity School","   -","School","On SR 724. About 2.4 mi SE of Melrose.","   -","HRHS Archives # 86 Whitmer"
"Trinity United Church of Christ","Refer to: Trinity Reformed Church (Timberville)","Church","Timberville. Church St.","United Church of Christ","HRHS Churches Database 2013"
"Trissel Church","Tristle Church, Mennonite Church","Church","On SR 752. About 2.7 mi WSW of Broadway","   -","HRHS Archives # 86 Whitmer"
"Trissels Mennonite Church","   -","Church","Broadway, west.","Mennonite","HRHS Churches Database 2013"
"Trissels Mennonite Church Cemetery","   -","Cemetery","Broadway area, Rockingham County, Virginia.  From downtown Harrisonburg, Virginia, take Route 42 North (Harpine Highway).  Go 9.9 miles and turn left onto Route 809 (Trissels Road).  Go 2.1 miles and turn right onto Road 752 (Hisers Lane).  Go 8/10th","   -","HRHS Cemeteries Database 2013"
"Tristle Church","Trissel Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Trout Family Cemetery","   -","Cemetery","Edom area, Rockingham County, Virginia.  From Harrisonburg, take Route 42 north and turn left onto Route 809 (Trissels Road).  Go approximately 3/4 mile and cemetery is on a hill on the left side of the road.","   -","HRHS Cemeteries Database 2013"
"Trumbo Family Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. From Fulks Run Grocery on Highway 259, travel east about 1-1/2 miles toward Broadway.  Cemetery is on the left side of road under a large cedar tree on Roger Turner's property.","   -","HRHS Cemeteries Database 2013"
"Tunis","   -","Community","On SR 610. About 4.1 mi N of Brocks Gap","   -","HRHS Archives # 86 Whitmer"
"Tunis Cemetery aka Runions Creek Cemetery","   -","Cemetery","Brocks Gap/Runion Creek area,  Rockingham County, Virginia. Refer to Runions Creek Cemetery for burials.","   -","HRHS Cemeteries Database 2013"
"Tunis Creek Baptist Church","   -","Church","Brock' s Gap. Runions Creek Rd.","Baptist Primitive","HRHS Churches Database 2013"
"Tunis Creek Church","Bethel Church","Church","On SR 610. Bout 3 mi S of Tunis","   -","HRHS Archives # 86 Whitmer"
"Turkey Creek Road","   -","Road","A road extending generally N-S. Along Turley Creek. Begins at intersection of SR 610 and 880, about 3.7 mi W of Broadway, ends at Cherry Grove, at intersection of SR 879 and 880. Is now present day SR 880. Section from near J.A. Cline Monument to nea","   -","HRHS Archives # 86 Whitmer"
"Turkey Ridge","   -","Hill","Rises from about 1300' ESE to about 2000' and joins NW side of Massanutten Mountain. Extends about .8 mi. Center near 38 32 30N, 78 41 15W, about 3.4 mi SE of 10th Legion.","   -","HRHS Archives # 86 Whitmer"
"Turley Cemetery","   -","Cemetery","Turleytown, Rockingham County, Virginia.  On Turleytown Road (Route 613) between Singers Glen and Cootes Store.  In the Neff Sawmill itself, there is a little white building (old Turleytown Baptist Church) on the West side of Turleytown Road.  Turn u","   -","HRHS Cemeteries Database 2013"
"Turley Creek","   -","Stream","Rises about 3 mi NE of Singers Glen, near 38 35 30N, 78 53 09W, flows NE about 4 mi into North Fork Shenandoah River near 38 37 59N, 78 50 34W. About 1.3 mi SE of Brocks Gap","   -","HRHS Archives # 86 Whitmer"
"Turley Mill","   -","Mill","Turleytown","   -","HRHS Mill Books"
"Turley Town","Turleytown","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Turleytown","Turley Town","Community","On SR 613. About 3.9 mi W of Broadway.","   -","HRHS Archives # 86 Whitmer"
"Turleytown","   -","Community","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Turleytown Baptist Church","   -","Church","Turleytown","Baptist","HRHS Churches Database 2013"
"Turleytown German Reformed Church","   -","Church","Turleytown","German Reformed","HRHS Churches Database 2013"
"Turleytown Methodist Church","   -","Church","Turleytown, nearby.","Methodist","HRHS Churches Database 2013"
"Turleytown Presbyterian Church","Refer to: Shiloh Presbyterian Church","Church","Turleytown","Presbyterian","HRHS Churches Database 2013"
"Turleytown Union Church","   -","Church","Turleytown","Open to all","HRHS Churches Database 2013"
"Turleytown United Brethren Church","   -","Church","Turleytown","United Brethren","HRHS Churches Database 2013"
"Turner & Fulk Mill","   -","Mill","Fulks Run","   -","HRHS Mill Books"
"Turner Ashby High School","   -","School","Just North of Dayton on SR 732.","   -","HRHS Archives # 86 Whitmer"
"Turner Family Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. From Funks Run Grocery store on Route 259, take a left (south) onto route 612.  After approximately 2.5 miles, you will pass Harlan Mongold's house, formerly the Genoa Schoolhouse.  Take the next left down a pr","   -","HRHS Cemeteries Database 2013"
"Turner Mill","Breneman Mill","Mill","Greenmount","   -","HRHS Mill Books"
"Turner Run","   -","Stream","Rises about 4.8 mi WSW of Fulks Run, near 38 37 35N, 78 58 52W, flows E about 4.3 mi into Reedy Run near 38 37 56N, 78 54 41W, about 2 mi S of Fulks Run","   -","HRHS Archives # 86 Whitmer"
"Turner Run","   -","Stream","Rises about 2.7 NE of Cootes Store near 38 40 14N, 78 49 38W, flows SW about 3 mi into North Fork Shenandoah River near 38 37 59N, 78 50 32W, about .5 mi ESE of Cootes Store.","   -","HRHS Archives # 86 Whitmer"
"Turner Zirk Farm Cemetery","   -","Cemetery","East of Linville, Rockingham County, Virginia. South of Route 721 (Longs Pump Road) east of Linville.","   -","HRHS Cemeteries Database 2013"
"Turnner Family Cemetery (*)","   -","Cemetery","Runkles Gap, Rockingham County, Virginia. From Harrisonburg, take Route 33 East to Route 602 turn left, then turn left on Runkles Gap Road and right onto Kettle View Lane. The cemetery is located on the property of Elder  Benjamin Cubbage at the end","* Negro","HRHS Cemeteries Database 2013"
"Turnpike (Valley)","   -","Road","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Tusing Cemetery #","   -","Cemetery","Refer to the Antioch Baptist Church Cemetery the name has been changed."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Tusing Run","   -","Stream","Rises about 1.1 mi NE of Cootes Store near 38 39 00N, 78 50 32W, flows SW about 1 mi into North Fork Shenandoah River near 38 38 14N, 78 51 00W, about .1 mi NE of Cootes Store.","   -","HRHS Archives # 86 Whitmer"
"Tusing School","   -","School","On SR 610. About 2 mi N of Tunis.","   -","HRHS Archives # 86 Whitmer"
"Twin Maple Farm Cemetery","   -","Cemetery","Dry River area, Rockingham County, Virginia. From the Courthouse in Harrisonburg, travel Route 33 West. Go 4.5 miles and turn left onto Route 734 (Bank Church Road). Go 1.2 miles and Route 734 turns right. Go 1/10 mile and Route 734 turns left. Conti","   -","HRHS Cemeteries Database 2013"
"Two Mile Run","Twomile Run","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Twomile Ridge Trail","   -","Road","A foot trail in Shenandoah Natl Park extending NNW-SSE about 2 mi on a ridge about 3.5 mi NE of Rockytop. Begins on Skyline Drive near Twomile Run Overlook, dead ends at summit on NW end of ridge. Mid point near 38 18 33N, 78 39 14W.","   -","HRHS Archives # 86 Whitmer"
"Twomile Run","Two Mile Run","Stream","Rises about 3.5 mi ENE of Rockytop, near 38 17 58N, 78 39 03W, flows NNW about 5 mi into South Fork Shenandoah River near 38 21 15N, 78 41 43W, about 2.3 mi SE of McGaheysville.","   -","HRHS Archives # 86 Whitmer"
"Twomile Run Overlook","   -","Road","Elevation 2772'. On Skyline Drive. About 3.6 mi ENE of Rockytop.","   -","HRHS Archives # 86 Whitmer"
"U. B. Church & Cem.","(Pleasant Grove)","Hill","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"U.S. Farms","   -","Business","At lest 21 structures scattered in 3 different areas. 3 show W of Bear Lithia Spring on E side of South Fork Shenandoah River. 10 shown on either side of U.S. Rt 340 about .7 mi S of the Page Co.-Rockingham Co. border. 7 shown W of Furnace, S of SR 6","Perhaps relocation camps for those displaced by Shenandoah Ntl Park?","HRHS Archives # 86 Whitmer"
"Union Chapel","Free Church & School Number 2","Church","On SR 620. About 2.2 mi SE of 10th Legion","   -","HRHS Archives # 86 Whitmer"
"Union Chapel","   -","Church","Harrisonburg","Open to all","HRHS Churches Database 2013"
"Union Church","Presbyterian Church","Church","On SR 679 at Cross Keys","Presently is the Cross Keys Ruritan Club bullding","HRHS Archives # 86 Whitmer"
"Union Church","Refer to: Peaked Mountain Presbyterian Church","Church","Cross Keys","Presbyterian / Lutheran","HRHS Churches Database 2013"
"Union School","   -","School","At intersection of SR 679 and 680. About 1 mi WNW of Cross Keys","   -","HRHS Archives # 86 Whitmer"
"Union School Number 21","   -","School","On SR 789. About 1.9 mi WNW of Timberville.","   -","HRHS Archives # 86 Whitmer"
"Union Springs","   -","Spring","Spring(s) which flow into Union Springs Run. About 3 mi NNW of Briery Branch community.","   -","HRHS Archives # 86 Whitmer"
"Union Springs","   -","Spring","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Union Springs Dam","   -","Resevoir","Impounds Union Springs Run. About 2.2 mi NNE of Briery Branch Community.","   -","HRHS Archives # 86 Whitmer"
"Union Springs Run","Waggys Creek, Wood Creek, Beaver Creek","Stream","Rises about 6.4 mi ENE of Reddish Knob, near 38 29 02N, 79 07 36W, flows ESE bout 5.7 mi into Beaver Creek near 38 25 58N, 79 03 36W, about 1.5 mi NE of Briery Branch Community. Union Springs Dam impounds this stream.","   -","HRHS Archives # 86 Whitmer"
"United Brethren in Christ Church (Colored)","   -","Church","Harrisonburg, Newtown - Kelley Street","United Brethren in Christ","HRHS Churches Database 2013"
"Unknown 01 Family Cemetery","   -","Cemetery","Singers Glen area, Rockingham County, Virginia.  Was located west of Route 776 about two miles northwest of Singers Glen.","   -","HRHS Cemeteries Database 2013"
"Urner Family Cemetery","   -","Cemetery","Broadway area, Rockingham County, Virginia.  Was located west of Route 752 near Trissels Mennonite Church on the Andrew Fitzwater place.","   -","HRHS Cemeteries Database 2013"
"Ursulasburg","McGaheysville","Town","   -","   -","Other Sources"
"Va. Normal Sch.","   -","College","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"Va. Organ Co. Fact.","   -","Business","Dayton","P. 22","1885 Lakes Atlas Revised 2013"
"Valentine Sevier Mill","   -","Mill","Smith Creek","   -","HRHS Mill Books"
"Valeview","   -","Community","On SR 763. About .5 mi S of Hopkins Gap.","   -","HRHS Archives # 86 Whitmer"
"Valley Branch of Baltimore & Ohio RR","Chesapeake Wester RR, Southern Railway","Railroad","   -","Name 'Chesapeake Westen RR, Southern Railway","HRHS Archives # 86 Whitmer"
"Valley Creamery","   -","Business","Between US Rt. 33 and SR 655, at Penn Laird. About 2 mi S of Keezletown.","   -","HRHS Archives # 86 Whitmer"
"Valley Hotel","   -","Hotel","McGaheysville","P. 27","1885 Lakes Atlas Revised 2013"
"Valley Milling Company","   -","Mill","Harrisonburg","   -","HRHS Mill Books"
"Valley Pike","Lee Highway, Lee Jackson Memorial Hwy","Road","   -","   -","HRHS Archives # 86 Whitmer"
"Valley Star Mill","   -","Mill","McGaheysville","   -","HRHS Mill Books"
"Valley Tn Pk.","   -","Road","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013"
"Valley Tnpk","   -","Road","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013"
"Valley Tnpk.","   -","Road","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 10","1885 Lakes Atlas Revised 2013"
"Valley Tnpk.","   -","Road","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Valley Turnpike","Lee Jackson Memorial Hwy","Road","   -","   -","HRHS Archives # 86 Whitmer"
"Valley View Church","Mem. Ch, Damascus Memorial Church","Church","On SR 826","   -","HRHS Archives # 86 Whitmer"
"Valley View Mennonite Church","   -","Church","Brock's Gap. Criders","Mennonite","HRHS Churches Database 2013"
"Vanpelt Cemetery","   -","Cemetery","Refer to Frank Harman Place Cemetery for information.","   -","HRHS Cemeteries Database 2013"
"Verbena Mill","   -","Mill","Naked Creek","   -","HRHS Mill Books"
"Verbena P O","   -","Post Office","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Veterans Road","   -","Road","A road extending generally ESE-WNW. Begins at intersection of SR 789 and 790, about 1.9 mi WNW of Timberville and ends at intersection of SR 613 and 790, about 1.8 mi NE of Brocks Gap. Is now part of present day SR 790. Extends about 2.2 mi","   -","HRHS Archives # 86 Whitmer"
"Viands Family Cemetery","   -","Cemetery","Viands Family Cemetery, Runkles Gap Road, NW of Elkton, Rockingham County, Virginia. From Harrisonburg, take Route 33 East to Route 602 (East Point Road), proceed north & turn left on Runkles Gap Road.  There is a small white church (Bibleway Church","   -","HRHS Cemeteries Database 2013"
"Victory Hill School","   -","School","On SR 659. About 1 mi SE of Cross Keys.","   -","HRHS Archives # 86 Whitmer"
